Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,0.079676,1.590292,2.568046,7.517219492074313,-1.5450340565753125,-1.3315625351973681,-0.065699,0.012691,0.01071,-0.997701,0.999449,-0.023038,0.023916,0.019703,0.991138,0.131368,-0.037061,0.700809,2.567669,16.30851543160423,61.86071808832541,-20.218491223525497,0.030472,0.522256,-0.220815,0.823141,0.356979,-0.331695,-0.873238,0.395352,0.900624,-0.180478,0.250019,0.70379,2.554176,19.007957596977775,-41.99456524563038,30.912063437351872,0.054395,-0.381706,0.302413,0.871716,0.525694,0.48571,0.698378,-0.568762,0.811175,-0.136031
0.046,0.079961,1.590111,2.568909,7.471904412122717,-1.5973139147107722,-1.1633232024756262,-0.06529,0.013247,0.009221,-0.997736,0.999479,-0.02013,0.025229,0.016671,0.991305,0.130528,-0.038697,0.699755,2.566001,16.981556951230978,62.42751869028545,-20.196917093036582,0.034449,0.526753,-0.223646,0.819345,0.345027,-0.330194,-0.878594,0.402778,0.897592,-0.179161,0.25162,0.702233,2.55417,19.98776206445806,-42.30423544904423,30.574648112188825,0.062427,-0.385469,0.302571,0.869464,0.51973,0.478021,0.708079,-0.574276,0.809108,-0.124707
0.119,0.080241,1.589532,2.57002,7.57484523620669,-1.5373864284736407,-1.1327118670969776,-0.066178,0.012733,0.008976,-0.997686,0.999515,-0.019595,0.024219,0.016224,0.99108,0.132277,-0.043009,0.697823,2.565835,17.862428735254426,61.31947530162031,-20.22426601134114,0.043025,0.519378,-0.227138,0.822681,0.357311,-0.329032,-0.874109,0.418417,0.893114,-0.165149,0.252547,0.700592,2.554862,20.765931310450224,-42.76414529182381,30.438968475718738,0.067793,-0.390094,0.303849,0.866549,0.511006,0.473708,0.717268,-0.57949,0.80616,-0.119568
0.123,0.080341,1.589468,2.570188,7.553435747178497,-1.5218876846144593,-1.138046702797895,-0.065991,0.012597,0.009034,-0.9977,0.999519,-0.019688,0.023944,0.016363,0.991127,0.131906,-0.04319,0.697758,2.565842,17.90454096676689,61.254736711403744,-20.19974561591833,0.043577,0.51893,-0.227111,0.822942,0.358264,-0.328571,-0.873893,0.419025,0.893044,-0.163986,0.25253,0.700573,2.55493,20.78329360496768,-42.78165819103797,30.413438670477312,0.06797,-0.390238,0.303712,0.866518,0.510947,0.473295,0.717583,-0.579393,0.806278,-0.119245
0.124,0.08042,1.589445,2.570394,7.537349633744835,-1.49287091039735,-1.1413056650117717,-0.065849,0.012344,0.009081,-0.997712,0.99953,-0.019745,0.023435,0.016494,0.991163,0.13162,-0.043594,0.69758,2.565804,18.005882431552926,61.13431900207591,-20.154718975368663,0.044772,0.51811,-0.227158,0.823381,0.359923,-0.327682,-0.873545,0.420469,0.892789,-0.161658,0.252614,0.700484,2.555042,20.82423902558192,-42.81728765144334,30.375443626899074,0.068327,-0.390548,0.303554,0.866406,0.510655,0.472632,0.718227,-0.579372,0.806373,-0.118707
0.133,0.080573,1.589405,2.570535,7.526354398299324,-1.4584830701102567,-1.126714650817353,-0.065749,0.012054,0.008975,-0.997723,0.999548,-0.019493,0.022873,0.016323,0.991193,0.131415,-0.044394,0.697404,2.566048,18.145835168744366,60.98022955753671,-20.096828187466073,0.046379,0.517065,-0.227255,0.823922,0.361997,-0.326519,-0.873123,0.422443,0.892408,-0.158586,0.252592,0.700387,2.555245,20.90584572127256,-42.858095502070846,30.309325999879224,0.069086,-0.390942,0.303294,0.866259,0.510353,0.471446,0.719221,-0.57948,0.806479,-0.117449
0.144,0.080711,1.589437,2.570708,7.530711387748586,-1.4174548194482575,-1.109940889710071,-0.065782,0.011706,0.008852,-0.997726,0.999569,-0.019203,0.022195,0.016123,0.991189,0.131472,-0.045519,0.6974,2.566618,18.279957997338812,60.84811412130122,-20.028592651619242,0.047946,0.516168,-0.227259,0.824394,0.363848,-0.325204,-0.872844,0.424198,0.892109,-0.155554,0.252496,0.700343,2.555517,20.955528612378,-42.901843823739206,30.230775902399422,0.069629,-0.391301,0.302858,0.866206,0.510321,0.470183,0.72007,-0.579167,0.806857,-0.116391
0.155,0.080833,1.58943,2.570874,7.52216940577615,-1.3766399406592589,-1.1054194799805452,-0.065704,0.011354,0.008837,-0.997735,0.999586,-0.019127,0.021495,0.016143,0.99121,0.131312,-0.045984,0.697148,2.566592,18.405720634127363,60.727025119234916,-19.98258084130241,0.049329,0.515352,-0.22739,0.824786,0.365411,-0.324254,-0.872545,0.42594,0.891721,-0.153001,0.252464,0.700338,2.555759,21.001649485133186,-42.948866525389434,30.153028670475262,0.070133,-0.391679,0.302421,0.866147,0.51026,0.468942,0.720922,-0.57882,0.807247,-0.115413
0.166,0.081001,1.589471,2.571054,7.5294446759084455,-1.3301311141957066,-1.08694070175814,-0.065762,0.010959,0.008702,-0.997737,0.999608,-0.018807,0.020723,0.015924,0.991199,0.131418,-0.046738,0.696983,2.566743,18.533280808047675,60.623694932623856,-19.9531538910234,0.050616,0.514671,-0.227653,0.825061,0.366575,-0.323554,-0.872316,0.427756,0.891224,-0.15081,0.252313,0.700373,2.55606,21.00992127419232,-42.998638530300276,30.094479450302792,0.070267,-0.392032,0.302031,0.866113,0.510177,0.468092,0.721533,-0.57828,0.80768,-0.115093
0.178,0.081176,1.589485,2.571168,7.529156863114921,-1.2678034970598968,-1.056183384864425,-0.065752,0.010434,0.00847,-0.997746,0.999639,-0.018273,0.019707,0.015529,0.99121,0.131385,-0.047066,0.696701,2.566739,18.638137761781582,60.53154210144493,-19.95518636298006,0.051571,0.51407,-0.228053,0.825266,0.367448,-0.323386,-0.872011,0.42943,0.890665,-0.149351,0.252086,0.700445,2.556362,20.959621388383866,-43.06668884812318,30.082585815190328,0.069733,-0.392463,0.301849,0.866024,0.509721,0.468082,0.721862,-0.577551,0.808049,-0.116149
