Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,0.149697,1.691701,2.617954,6.602719152431273,56.66262692837159,1.4854581734261443,-0.056827,-0.473085,0.015936,-0.879038,0.551874,0.02575,-0.83353,0.081785,0.993034,0.084827,0.308276,1.155086,2.760808,-19.116162404642644,59.514195665656025,19.55502619803815,-0.058941,0.506805,0.226599,0.829655,0.383603,0.316255,-0.867659,-0.435741,0.890358,0.131882,0.364011,1.109119,2.647219,-27.453230025630038,51.79707096907001,14.980382550956772,-0.156326,0.448509,0.216674,0.852909,0.503784,0.229379,-0.832818,-0.509834,0.857229,-0.072304
0.042,0.149421,1.691965,2.617663,6.518427110577661,56.83538975887698,1.5141223462261717,-0.056276,-0.474424,0.015452,-0.87836,0.549366,0.026252,-0.83517,0.080542,0.993189,0.084199,0.308621,1.155617,2.760521,-19.227442285543468,59.56970601002679,19.564485189478418,-0.059622,0.507274,0.227141,0.829172,0.382161,0.316189,-0.868319,-0.437167,0.889705,0.131572,0.363502,1.109295,2.647499,-27.48569114110927,51.74142584947006,14.951873110171752,-0.156792,0.448059,0.216497,0.853105,0.504744,0.228886,-0.832373,-0.509894,0.857091,-0.073512
0.110,0.148968,1.692312,2.617291,6.34621496670918,57.11302541875385,1.4547057003737536,-0.054674,-0.476637,0.015325,-0.877265,0.545165,0.025231,-0.837949,0.079007,0.993552,0.081318,0.308985,1.156024,2.760164,-19.3010778359444,59.67235714157684,19.622027271753403,-0.059714,0.508087,0.227905,0.828457,0.379813,0.316939,-0.869075,-0.4383,0.888987,0.13265,0.362117,1.108507,2.648408,-27.50708397527391,51.85107360377648,14.889593147261548,-0.156993,0.448792,0.216257,0.852744,0.503638,0.22791,-0.83331,-0.509738,0.857172,-0.073641
0.113,0.148941,1.692358,2.617146,6.330757050017,57.16600419065439,1.4619902385116956,-0.054579,-0.477044,0.01523,-0.877051,0.544394,0.025358,-0.838446,0.078789,0.993578,0.081207,0.308916,1.156051,2.760178,-19.30105050851825,59.67423382071552,19.624526204254575,-0.059699,0.508102,0.227924,0.828444,0.379765,0.316978,-0.869082,-0.438311,0.888973,0.132703,0.362117,1.108507,2.648408,-27.50708397527391,51.85107360377648,14.889593147261548,-0.156993,0.448792,0.216257,0.852744,0.503638,0.22791,-0.83331,-0.509738,0.857172,-0.073641
0.115,0.148901,1.692422,2.616982,6.308965217792394,57.20462841843467,1.4696193570820242,-0.054439,-0.477343,0.015099,-0.876899,0.543831,0.025491,-0.838808,0.078453,0.993617,0.08106,0.308879,1.156035,2.760143,-19.312462685905253,59.66629406191277,19.617555974981574,-0.059831,0.508047,0.227915,0.82847,0.379885,0.316848,-0.869077,-0.438435,0.88895,0.132447,0.362038,1.108429,2.648394,-27.505818565737165,51.873329101588226,14.878952241680635,-0.156983,0.448943,0.216204,0.85268,0.503413,0.227753,-0.833489,-0.509659,0.857224,-0.073587
0.124,0.148842,1.6925,2.616897,6.282724486762176,57.247204305617096,1.45623110813814,-0.054177,-0.477684,0.015112,-0.87673,0.54318,0.02526,-0.839236,0.078257,0.993673,0.080559,0.308889,1.155962,2.76002,-19.320140874700844,59.6664941623374,19.606510131268465,-0.059937,0.508047,0.227866,0.828476,0.37993,0.316661,-0.869125,-0.438464,0.88897,0.13222,0.36204,1.108529,2.648226,-27.50443396576504,51.9110187579608,14.868779933095666,-0.156941,0.449209,0.216175,0.852554,0.502959,0.227604,-0.833804,-0.5096,0.857276,-0.073385
0.135,0.148798,1.692571,2.616811,6.250044222796165,57.28629827685046,1.4464013476287536,-0.053881,-0.477998,0.015069,-0.876577,0.542582,0.025091,-0.839628,0.077928,0.99374,0.080055,0.308846,1.155889,2.759965,-19.29858272840604,59.67267237271154,19.616326680887212,-0.05972,0.508085,0.227854,0.828472,0.379864,0.316855,-0.869084,-0.438227,0.889032,0.132586,0.361959,1.108458,2.648185,-27.51183593186925,51.92861935043028,14.858747156943023,-0.157004,0.449327,0.21615,0.852487,0.502769,0.227439,-0.833963,-0.509623,0.857258,-0.073443
0.146,0.148739,1.692654,2.616727,6.222099925048248,57.33803639028995,1.4354665050531759,-0.053615,-0.478408,0.01506,-0.87637,0.541798,0.024904,-0.84014,0.077695,0.993797,0.079563,0.308721,1.155787,2.759861,-19.28440906735033,59.69313031084581,19.63556813963145,-0.059488,0.508235,0.227947,0.828371,0.379476,0.317181,-0.869134,-0.438116,0.889003,0.133145,0.361907,1.108441,2.64801,-27.520803975448082,51.937481916051105,14.869757940112363,-0.157013,0.449409,0.216275,0.852411,0.502514,0.227585,-0.834077,-0.509836,0.857144,-0.073287
0.157,0.148768,1.692655,2.616607,6.188259298758529,57.379711338016016,1.4345207455953457,-0.053347,-0.478738,0.014945,-0.876208,0.541173,0.024889,-0.840543,0.077267,0.993862,0.079176,0.308681,1.15574,2.759743,-19.265082749230498,59.72700521562727,19.6570022690945,-0.059181,0.50848,0.228042,0.828216,0.378889,0.317552,-0.869255,-0.437921,0.888989,0.133881,0.361726,1.108406,2.648041,-27.52102750333272,51.91099853883602,14.896189143621406,-0.156961,0.449248,0.216436,0.852464,0.502663,0.227979,-0.83388,-0.510037,0.857037,-0.073141
0.168,0.148742,1.692724,2.616512,6.146429758982864,57.43514894859279,1.4442625614990874,-0.053061,-0.479171,0.014721,-0.875993,0.540358,0.025058,-0.841062,0.076642,0.993936,0.078854,0.308631,1.155699,2.759661,-19.249718764374887,59.75670525850458,19.66242356461261,-0.058983,0.508689,0.228035,0.828104,0.378472,0.317665,-0.869395,-0.437681,0.889042,0.134309,0.361604,1.108363,2.648028,-27.52747912261977,51.879325985252095,14.910060967638776,-0.157016,0.449032,0.216518,0.852547,0.50298,0.228173,-0.833636,-0.510194,0.856932,-0.07328
