Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,0.072825,1.462226,2.392219,-11.139462630189536,0.08821287091752118,-7.193367112861872,0.096914,0.005324,0.062362,-0.993323,0.992165,-0.122859,0.022664,0.124923,0.973437,-0.191869,1.642286,0.896711,4.432632,-10.46371168360835,-105.46560841010063,-21.37190104058308,0.092692,-0.789,-0.183123,0.579097,-0.312109,-0.35836,0.879867,0.065824,0.915748,0.396324,1.690886,0.906155,4.354922,-12.788271708650306,-118.34273888325554,-16.10210901541255,0.063008,-0.852945,-0.166017,0.490871,-0.510152,-0.270471,0.81645,0.055501,0.936936,0.345065
0.042,0.073486,1.461895,2.390808,-11.218715060192668,0.12671874068700598,-7.121215541649693,0.097625,0.004972,0.061699,-0.993296,0.992337,-0.121601,0.021924,0.123542,0.973325,-0.193327,1.642401,0.896875,4.432668,-10.47615307983242,-105.47177357035484,-21.36941575271987,0.092619,-0.789038,-0.183189,0.579037,-0.312277,-0.358305,0.87983,0.065986,0.915727,0.396345,1.69089,0.906297,4.355051,-12.80333460525964,-118.33854892137198,-16.10253557271377,0.062937,-0.852923,-0.166131,0.490878,-0.510155,-0.270462,0.816451,0.055738,0.936879,0.345183
0.096,0.074161,1.461488,2.389213,-11.248007113753971,0.17612021272370593,-7.058458884118762,0.097908,0.004506,0.061111,-0.993307,0.99249,-0.120521,0.020917,0.122286,0.973359,-0.193954,1.642427,0.896975,4.432678,-10.48844587195131,-105.46985849638467,-21.364498655542313,0.092517,-0.789036,-0.183248,0.579036,-0.312317,-0.358213,0.879854,0.066216,0.915722,0.39632,1.690906,0.906236,4.355065,-12.805300532732891,-118.34212912209085,-16.080728552927678,0.062771,-0.85295,-0.16605,0.49088,-0.510193,-0.270102,0.816546,0.05594,0.936975,0.34489
0.100,0.074277,1.461492,2.388922,-11.251827645368524,0.1754377758701699,-7.052651136110889,0.097941,0.004509,0.061061,-0.993307,0.992503,-0.120421,0.020919,0.122187,0.973358,-0.194021,1.642511,0.896969,4.432706,-10.490112656954873,-105.47530913538952,-21.361169545819624,0.092494,-0.789067,-0.183238,0.579001,-0.312406,-0.358157,0.879844,0.066222,0.915738,0.396281,1.690958,0.906173,4.355063,-12.804895044344041,-118.34248532483383,-16.08215790813299,0.062784,-0.852951,-0.166053,0.490876,-0.510198,-0.270126,0.816535,0.055919,0.936969,0.344908
0.102,0.074338,1.461424,2.388646,-11.258709121182068,0.19955355168950006,-7.065927037453824,0.098013,0.004315,0.061155,-0.993295,0.992483,-0.120644,0.02056,0.122336,0.973307,-0.194183,1.642502,0.89697,4.432716,-10.487597346295523,-105.476028663556,-21.372139191336526,0.092584,-0.789061,-0.183276,0.578983,-0.312414,-0.358337,0.879769,0.066118,0.915676,0.396441,1.690953,0.906131,4.355096,-12.80126942103301,-118.34098014831109,-16.0869645259651,0.062834,-0.852943,-0.166048,0.490886,-0.510166,-0.270209,0.816528,0.055833,0.93696,0.344947
0.113,0.074453,1.461455,2.388372,-11.280310071463008,0.199585428116477,-7.072560010115857,0.0982,0.004332,0.061211,-0.993273,0.992469,-0.120748,0.020627,0.122449,0.97322,-0.194548,1.642511,0.896982,4.432651,-10.488476694147906,-105.47400115402111,-21.367473546930416,0.092544,-0.789055,-0.18326,0.579003,-0.312384,-0.35826,0.87981,0.066172,0.915703,0.396371,1.690948,0.906127,4.355104,-12.804789718053714,-118.34164644948508,-16.090852232657035,0.062848,-0.852943,-0.16609,0.49087,-0.510193,-0.270268,0.816491,0.055846,0.936929,0.34503
0.124,0.074522,1.461388,2.388117,-11.296291619795047,0.21795025371256443,-7.082577173845866,0.098348,0.00419,0.061281,-0.993255,0.992454,-0.120911,0.020376,0.122559,0.973145,-0.194856,1.642514,0.897001,4.43266,-10.489942543320145,-105.47127953483131,-21.368074365022018,0.092536,-0.789041,-0.183275,0.579018,-0.312351,-0.358268,0.879819,0.066209,0.915695,0.396383,1.690953,0.906147,4.355129,-12.800217097136478,-118.3395674785164,-16.084857462502725,0.062821,-0.852938,-0.166032,0.490901,-0.51014,-0.270175,0.816555,0.055846,0.936974,0.344908
0.135,0.074587,1.46144,2.387877,-11.308935912588307,0.22976628317514108,-7.1077328023483055,0.098463,0.004116,0.061488,-0.993231,0.992405,-0.121333,0.020284,0.122954,0.973049,-0.195086,1.6425,0.896961,4.432647,-10.485746190858084,-105.47556651544879,-21.365012024646305,0.092544,-0.789064,-0.183228,0.579001,-0.312388,-0.358224,0.879823,0.066133,0.915726,0.396323,1.690947,0.906121,4.355143,-12.801460136556406,-118.342225784524,-16.088454699614168,0.062846,-0.852947,-0.166055,0.490874,-0.510185,-0.270233,0.816508,0.055815,0.936953,0.344971
0.147,0.074655,1.461457,2.387701,-11.337527610707044,0.24503270998553672,-7.134294609060697,0.098718,0.004022,0.061703,-0.993192,0.992353,-0.121773,0.020172,0.123361,0.972895,-0.195596,1.642503,0.896989,4.432642,-10.488435570157979,-105.47895667651851,-21.366147478054437,0.092543,-0.789081,-0.183249,0.578971,-0.312457,-0.358239,0.879793,0.066143,0.915711,0.396356,1.690952,0.906176,4.355106,-12.801740021154151,-118.34390675575047,-16.088433187051237,0.062847,-0.852954,-0.166056,0.490861,-0.510212,-0.270232,0.816492,0.05581,0.936951,0.344975
0.157,0.074741,1.461478,2.387422,-11.353839047837624,0.26954860046796375,-7.183708980168856,0.098871,0.003861,0.062109,-0.993153,0.992255,-0.122605,0.019951,0.124132,0.972734,-0.195908,1.642457,0.896959,4.432633,-10.486154007933822,-105.47616116498484,-21.366350063755675,0.092552,-0.789066,-0.183237,0.578994,-0.312401,-0.358245,0.87981,0.066127,0.915717,0.396346,1.690994,0.906172,4.355117,-12.806839125968743,-118.34693936027665,-16.08219852098649,0.062782,-0.85297,-0.166065,0.49084,-0.510269,-0.270125,0.816492,0.05592,0.936962,0.344928
0.168,0.074788,1.461527,2.387248,-11.388984592610319,0.2887584828788672,-7.212933609677706,0.099185,0.003739,0.062343,-0.993107,0.992199,-0.123084,0.019793,0.124568,0.972551,-0.196537,1.642486,0.896917,4.432673,-10.484880697525494,-105.47213870503963,-21.36108623420886,0.092516,-0.789049,-0.183205,0.579032,-0.312326,-0.358162,0.879871,0.066165,0.915753,0.396255,1.691015,0.90621,4.355057,-12.809366663695394,-118.33820297520917,-16.083555820324705,0.062768,-0.852931,-0.166094,0.490899,-0.510158,-0.270144,0.816555,0.055998,0.936946,0.344959
0.179,0.07487,1.461578,2.386943,-11.415830556153981,0.3205431881777365,-7.277161854077556,0.099433,0.003534,0.06287,-0.99305,0.99207,-0.124163,0.019521,0.125568,0.972321,-0.19704,1.642489,0.896943,4.432667,-10.488918467182332,-105.47259314466265,-21.358558907453297,0.092478,-0.789055,-0.183219,0.579026,-0.312354,-0.358117,0.879879,0.066236,0.915758,0.396234,1.69102,0.90619,4.355056,-12.805267564624668,-118.34088355007108,-16.084574123827142,0.062798,-0.852943,-0.166067,0.490884,-0.51018,-0.270165,0.816534,0.055914,0.936956,0.344944
0.191,0.074952,1.461664,2.386716,-11.43384557491063,0.34399589614390114,-7.309683826244339,0.099601,0.003369,0.06313,-0.993017,0.992007,-0.124707,0.019266,0.126049,0.972188,-0.197386,1.642525,0.896925,4.432673,-10.488565746829527,-105.46916940796314,-21.361841140913054,0.092497,-0.789035,-0.183236,0.579045,-0.312302,-0.358171,0.879876,0.066236,0.915738,0.396279,1.691021,0.906137,4.355024,-12.801186424808495,-118.33568165254965,-16.081767146879987,0.062788,-0.852923,-0.166028,0.490933,-0.510086,-0.270124,0.816606,0.055911,0.936985,0.344868
0.202,0.074964,1.46168,2.386459,-11.462223951232646,0.37332573846245287,-7.3479827940757145,0.099862,0.003164,0.063434,-0.992972,0.991932,-0.125345,0.018953,0.126609,0.972008,-0.197919,1.642525,0.896931,4.432672,-10.490418268139901,-105.47065127411629,-21.363800645398463,0.092503,-0.789041,-0.183257,0.579028,-0.312339,-0.358199,0.879851,0.066245,0.91572,0.396318,1.691039,0.906135,4.355016,-12.804343701302985,-118.34230120879161,-16.08306654809848,0.062793,-0.85295,-0.166053,0.490877,-0.510194,-0.270143,0.816532,0.055904,0.936967,0.344918
0.213,0.075007,1.461763,2.386229,-11.499817196743933,0.38706559855797334,-7.362886588006204,0.100195,0.003079,0.063548,-0.992932,0.991904,-0.125581,0.018848,0.126815,0.971845,-0.198582,1.642569,0.896922,4.432662,-10.489023160319714,-105.4701633472114,-21.36080019391395,0.092489,-0.789041,-0.183233,0.579039,-0.312321,-0.358152,0.879877,0.066243,0.915743,0.396265,1.691074,0.906129,4.355023,-12.809118652135796,-118.34005569117915,-16.087476448505626,0.062801,-0.852937,-0.166108,0.49088,-0.510186,-0.270208,0.816516,0.055949,0.936928,0.345015
0.224,0.075002,1.46183,2.38609,-11.550347128015792,0.4000606708405921,-7.363202760184568,0.10064,0.002995,0.063535,-0.992888,0.991909,-0.125564,0.018735,0.126769,0.97167,-0.199468,1.642559,0.896931,4.432665,-10.4893516594143,-105.46626441315158,-21.364275019853313,0.092505,-0.789019,-0.183256,0.57906,-0.312266,-0.358209,0.879873,0.066255,0.91572,0.396316,1.691083,0.906174,4.354945,-12.805498891091148,-118.34318833965587,-16.083330370595895,0.062791,-0.852953,-0.166062,0.490868,-0.510212,-0.270145,0.81652,0.055914,0.936961,0.344931
0.235,0.07501,1.461992,2.385785,-11.586278629195679,0.4212901859056968,-7.364109500982438,0.100963,0.002832,0.063521,-0.992856,0.991914,-0.125562,0.01845,0.126706,0.971543,-0.200124,1.642563,0.896941,4.432684,-10.484042243328055,-105.46733388379396,-21.3635811265709,0.09253,-0.789023,-0.183216,0.579063,-0.312249,-0.358204,0.879881,0.06617,0.91574,0.396284,1.691099,0.906199,4.354945,-12.805481622265395,-118.33999462353466,-16.08689114964174,0.062813,-0.852938,-0.166079,0.490887,-0.51017,-0.270203,0.816528,0.055902,0.936945,0.344978
0.246,0.075001,1.462078,2.385591,-11.663363407044821,0.42915458260875183,-7.37527708876834,0.101635,0.002817,0.063604,-0.992783,0.991893,-0.125718,0.018522,0.126863,0.97125,-0.201444,1.642573,0.896971,4.432665,-10.493087074059638,-105.47139913980192,-21.366682836897155,0.09251,-0.789044,-0.183289,0.579014,-0.312371,-0.358242,0.879822,0.066264,0.915694,0.396375,1.691024,0.906157,4.35501,-12.805692223994221,-118.34282387292046,-16.085258671555064,0.062804,-0.852951,-0.166072,0.490868,-0.510209,-0.270176,0.816512,0.055901,0.936952,0.344959
0.257,0.074952,1.462277,2.385302,-11.724910152323872,0.44593790450724696,-7.394151193314571,0.102177,0.002723,0.063747,-0.992718,0.991858,-0.126008,0.018433,0.127121,0.970992,-0.202519,1.642509,0.896956,4.432667,-10.48458599381129,-105.46765284278945,-21.3688716284736,0.092564,-0.78902,-0.183246,0.579051,-0.312263,-0.358287,0.879842,0.066149,0.915706,0.396368,1.691052,0.906238,4.354886,-12.803583566810289,-118.34936931443634,-16.084593770234914,0.062818,-0.852979,-0.16605,0.490823,-0.510293,-0.270167,0.816463,0.055839,0.936962,0.34494
0.268,0.074824,1.462504,2.385108,-11.813916409261681,0.46088307741567014,-7.4523962201736715,0.102955,0.002696,0.06423,-0.992607,0.991734,-0.126956,0.018578,0.128066,0.97055,-0.204041,1.642508,0.896953,4.432651,-10.48327524407949,-105.47115423262505,-21.363861502289385,0.092542,-0.789041,-0.183209,0.579037,-0.312304,-0.358208,0.87986,0.066131,0.915741,0.396289,1.690989,0.906274,4.354908,-12.797643929630942,-118.34086239578279,-16.08169828831301,0.062811,-0.852946,-0.165999,0.4909,-0.510144,-0.270126,0.816569,0.055828,0.936999,0.344844
0.279,0.074797,1.462751,2.384853,-11.891346606192847,0.47498099116087944,-7.4746794383776285,0.103633,0.002638,0.064403,-0.992525,0.991691,-0.127295,0.018586,0.128389,0.970225,-0.205377,1.642474,0.896923,4.432617,-10.492417994027939,-105.47067020806337,-21.36052996670548,0.09247,-0.789045,-0.183254,0.57903,-0.312346,-0.358145,0.879871,0.066292,0.915735,0.396277,1.690991,0.906287,4.354918,-12.804668436216156,-118.34064034917219,-16.080900067287505,0.062773,-0.852944,-0.166047,0.490892,-0.510169,-0.270106,0.81656,0.055939,0.936976,0.344887
0.291,0.074729,1.463007,2.384677,-11.981261393603774,0.48485578625347997,-7.484905150427844,0.104417,0.002613,0.064474,-0.992438,0.991673,-0.127428,0.018651,0.128519,0.96988,-0.206917,1.642454,0.8969,4.432601,-10.487394018558623,-105.46970153872336,-21.363288397954474,0.092514,-0.789036,-0.183235,0.579041,-0.312305,-0.358194,0.879865,0.066207,0.915733,0.396296,1.690988,0.906298,4.354908,-12.80831904333886,-118.34223854777623,-16.0846856216037,0.062787,-0.852948,-0.166089,0.490869,-0.510211,-0.270165,0.816514,0.055947,0.936944,0.344972
0.302,0.074687,1.463176,2.38446,-12.068765154681419,0.47404272126901487,-7.4734128704797,0.105169,0.002746,0.064376,-0.992365,0.991697,-0.127191,0.018991,0.128346,0.96959,-0.208379,1.642442,0.89689,4.432598,-10.485202513846744,-105.46494232003477,-21.365030270732724,0.09253,-0.78901,-0.183233,0.579075,-0.312222,-0.358225,0.879882,0.066197,0.915728,0.396308,1.690992,0.906279,4.354917,-12.79987742103411,-118.3384764191527,-16.082709857179527,0.062805,-0.852935,-0.166021,0.490913,-0.510121,-0.270141,0.816579,0.055867,0.936985,0.344874
0.313,0.074674,1.463364,2.384256,-12.148099449749385,0.47355138565410376,-7.458882668192454,0.105856,0.002782,0.064243,-0.9923,0.99173,-0.126907,0.019123,0.128085,0.969335,-0.209724,1.642446,0.896886,4.432595,-10.485888148932776,-105.46880847405147,-21.360598655747648,0.092502,-0.789033,-0.183212,0.579054,-0.31228,-0.358154,0.87989,0.066205,0.915753,0.396249,1.690996,0.906256,4.354885,-12.806877864592948,-118.34101165140396,-16.080693380812242,0.062762,-0.852945,-0.166062,0.490886,-0.510184,-0.270099,0.816553,0.05597,0.936969,0.344901
0.324,0.074643,1.463462,2.384106,-12.219464060429543,0.45629767847886193,-7.433102456829732,0.106465,0.002948,0.064029,-0.992249,0.991783,-0.126437,0.019484,0.127693,0.969131,-0.210901,1.64243,0.896892,4.4326,-10.486711576748613,-105.4668002161205,-21.36590671930532,0.092531,-0.789019,-0.183246,0.579058,-0.312261,-0.358238,0.879863,0.066202,0.915718,0.396331,1.690992,0.906249,4.354916,-12.804489710572666,-118.33781179062255,-16.075697260915792,0.062731,-0.852935,-0.166025,0.490921,-0.510124,-0.270021,0.816617,0.055999,0.937001,0.344808
