Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,-0.312974,1.775037,2.776778,7.4567684669715835,31.987924990052253,0.8670012056593688,-0.064588,-0.274472,0.010659,-0.959364,0.849103,0.015003,-0.528014,0.055908,0.99143,0.118076,-0.052058,1.185796,2.853228,-26.755979518444565,17.752566596192015,18.20197628780288,-0.201981,0.184384,0.187292,0.943466,0.861849,0.278923,-0.423579,-0.427892,0.848251,-0.312058,-0.25934,1.181215,3.046881,-25.546721443195104,46.424461005945226,-11.676025008784622,-0.241242,0.361722,-0.004479,0.900522,0.738275,-0.182591,-0.649316,-0.166459,0.883564,-0.437728
0.044,-0.313608,1.774747,2.775985,7.533091357724794,32.13521927230422,0.8920087038078433,-0.065273,-0.275674,0.010717,-0.958973,0.847778,0.015434,-0.530127,0.056542,0.991249,0.119281,-0.051956,1.184376,2.852597,-26.669803139680223,17.734186573769502,18.44313737733807,-0.200905,0.184568,0.189161,0.943287,0.860306,0.282705,-0.424207,-0.431026,0.847711,-0.309196,-0.259196,1.180933,3.046885,-25.697808105049422,46.55441492830402,-11.9012033163706,-0.243122,0.362031,-0.005441,0.899887,0.737809,-0.185829,-0.648927,-0.166242,0.881724,-0.441505
0.100,-0.314435,1.774602,2.774549,7.543007319094144,32.46048901686757,0.9384587144973623,-0.065438,-0.278366,0.010538,-0.958185,0.844803,0.016237,-0.534832,0.056626,0.991214,0.119537,-0.051165,1.180539,2.851126,-26.036991416121694,17.834500960583135,18.71249736665432,-0.19503,0.185194,0.190933,0.94404,0.858496,0.288261,-0.424135,-0.432734,0.851016,-0.297512,-0.258874,1.178438,3.046762,-25.389805265847073,46.81770773322321,-12.005704779729355,-0.241098,0.364362,-0.006795,0.899481,0.734389,-0.187918,-0.652197,-0.163469,0.883652,-0.438678
0.102,-0.31449,1.774597,2.774198,7.5274085445134755,32.52144887976762,0.9515817119891078,-0.065334,-0.278872,0.010425,-0.958047,0.844243,0.016465,-0.535708,0.056415,0.991246,0.119371,-0.051146,1.180467,2.851128,-25.993649657455475,17.84837739969701,18.717127284974037,-0.194638,0.18527,0.190952,0.944102,0.858425,0.288435,-0.42416,-0.432677,0.851307,-0.296761,-0.25877,1.178451,3.046821,-25.37692198554582,46.78839906662193,-12.025786970108925,-0.241061,0.36411,-0.00706,0.899591,0.734748,-0.188248,-0.651697,-0.162843,0.88368,-0.438853
0.113,-0.314589,1.774562,2.773938,7.507960939422463,32.57297728127981,0.9660320119259354,-0.065202,-0.279299,0.010286,-0.957933,0.843773,0.016715,-0.53644,0.056128,0.991286,0.119172,-0.050934,1.179431,2.850664,-25.77988112440792,17.92929128023349,18.77670649501006,-0.192624,0.185809,0.191368,0.944325,0.857706,0.289844,-0.424653,-0.433009,0.852549,-0.292683,-0.258748,1.177312,3.046763,-25.20005405309203,46.88748258367561,-12.191919475496107,-0.240236,0.364818,-0.008784,0.899509,0.733661,-0.191087,-0.652095,-0.159482,0.884419,-0.438598
0.123,-0.314703,1.774563,2.773698,7.493405497941721,32.6244640394517,0.9600049648394878,-0.065061,-0.279736,0.01033,-0.957814,0.843283,0.016611,-0.537214,0.056188,0.991321,0.118853,-0.050689,1.178447,2.850085,-25.60896338105248,18.012321419372505,18.83065787180839,-0.190972,0.1864,0.191781,0.94446,0.856951,0.291065,-0.425343,-0.433453,0.853499,-0.289236,-0.258798,1.17621,3.046621,-25.073187912830974,46.97238227109778,-12.334146568699364,-0.239721,0.365388,-0.010174,0.899401,0.732776,-0.193483,-0.652384,-0.156882,0.884861,-0.438645
0.134,-0.314738,1.77459,2.773374,7.452069914116791,32.69822407170894,0.9653140077803603,-0.064722,-0.280359,0.010226,-0.957656,0.842589,0.016704,-0.538298,0.055877,0.991413,0.118229,-0.050732,1.178589,2.849998,-25.669897792617732,18.018890428411783,18.80808545011251,-0.191506,0.186482,0.191667,0.944359,0.856976,0.29058,-0.425624,-0.43343,0.853178,-0.290216,-0.2588,1.1761,3.04658,-25.080278564466905,46.99816515923206,-12.389091913816367,-0.239953,0.365464,-0.010526,0.899304,0.732651,-0.19432,-0.652275,-0.156457,0.884624,-0.439275
0.146,-0.314832,1.774636,2.773148,7.405538085307159,32.76610234979023,0.966849721664167,-0.064331,-0.280936,0.010137,-0.957514,0.841944,0.016732,-0.539305,0.055559,0.991518,0.117499,-0.050488,1.17781,2.849222,-25.563534871179225,18.106317819723856,18.80483059766126,-0.190478,0.187083,0.191679,0.944446,0.856518,0.29079,-0.426401,-0.433331,0.853955,-0.288073,-0.258838,1.174978,3.046312,-24.9473114552995,47.10748345294205,-12.647048627125725,-0.239766,0.365995,-0.012796,0.899109,0.731767,-0.198517,-0.652003,-0.152495,0.884698,-0.440517
0.157,-0.314793,1.774757,2.772838,7.339089438574255,32.842519613837645,0.9646971552272143,-0.063764,-0.281591,0.010034,-0.957361,0.841212,0.016699,-0.540447,0.055123,0.991667,0.11644,-0.050363,1.17714,2.84842,-25.522737668535086,18.16655616659628,18.87925718886071,-0.189915,0.187659,0.192351,0.944308,0.85557,0.291998,-0.427477,-0.434555,0.853867,-0.286484,-0.258885,1.173806,3.046169,-24.797898358836648,47.26104340158726,-13.030516991356073,-0.239864,0.366639,-0.016018,0.898768,0.730638,-0.20468,-0.651363,-0.147094,0.884417,-0.44291
0.168,-0.314803,1.77483,2.77257,7.270704519167478,32.921205819598605,0.9573619766167583,-0.063168,-0.282268,0.00997,-0.957202,0.84045,0.016575,-0.541635,0.054747,0.991821,0.115301,-0.050168,1.17655,2.847554,-25.466439784313877,18.23670658045395,18.969798423055057,-0.189179,0.188326,0.193156,0.944159,0.854448,0.293485,-0.428702,-0.435994,0.853805,-0.284477,-0.258974,1.172708,3.045927,-24.6829245964283,47.438072162798505,-13.352935263321553,-0.240042,0.367541,-0.018589,0.898303,0.729136,-0.209848,-0.651402,-0.143054,0.884068,-0.444926
