Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,0.033388,1.534079,2.824492,58.160719183679284,5.383248130608526,4.486880337835495,-0.486734,-0.022004,-0.011366,-0.873199,0.998773,0.041271,-0.027364,0.001571,0.525922,0.850532,0.160754,1.159703,3.002948,-5.739251003458754,3.1670674894582054,-71.84501230491102,-0.056719,-0.00701,-0.584611,0.809299,0.316362,-0.945454,0.077664,0.947044,0.310027,-0.083608,-0.081448,1.155491,2.987661,-11.333854330272823,-15.486896633924083,60.00716087574405,-0.15178,-0.067184,0.481551,0.860557,0.52719,0.849198,-0.030549,-0.808409,0.490143,-0.325936
0.045,0.034899,1.534382,2.824863,58.079208834378086,5.817745505737159,4.694902445034337,-0.486199,-0.024474,-0.011151,-0.873434,0.998553,0.043277,-0.03191,0.00432,0.526972,0.849872,0.164144,1.164173,3.003928,-7.078306245669312,3.9123897247764026,-72.74461271419973,-0.06988,-0.009154,-0.589857,0.804426,0.30397,-0.947714,0.097167,0.950272,0.294371,-0.101627,-0.072588,1.157114,2.989683,-11.134382847832008,-11.597131420365809,59.10506606198239,-0.133556,-0.039869,0.479857,0.866205,0.536297,0.841958,-0.059106,-0.820659,0.503801,-0.269637
0.112,0.036754,1.535262,2.82578,57.71391931197656,5.983006883978191,4.587326684548628,-0.48341,-0.026382,-0.009837,-0.874941,0.998415,0.04272,-0.036654,0.008292,0.532435,0.84643,0.164767,1.167908,3.004282,-8.642702687337593,3.4104229298092967,-71.9479669100814,-0.078383,-0.020229,-0.583674,0.807943,0.317831,-0.939979,0.124188,0.946322,0.306362,-0.103043,-0.061322,1.160507,2.99065,-12.258232660846359,-7.542647908640693,53.16498046259958,-0.124541,-0.010811,0.437684,0.890396,0.616632,0.782117,-0.089766,-0.776731,0.585845,-0.231245
0.116,0.037017,1.535363,2.825935,57.67576051116183,5.977015044757949,4.562723105609122,-0.483113,-0.02646,-0.009696,-0.875104,0.998412,0.042536,-0.036942,0.008597,0.533015,0.846062,0.164885,1.16821,3.004415,-8.749973952399197,3.41460565097739,-71.81583880406717,-0.079182,-0.020658,-0.582675,0.808575,0.320126,-0.939002,0.125681,0.945544,0.30844,-0.103975,-0.060458,1.161027,2.990285,-12.535656491062294,-7.338342259151803,53.03912160978601,-0.125892,-0.008272,0.436673,0.89073,0.618497,0.779998,-0.095211,-0.775833,0.586936,-0.231496
0.118,0.03727,1.535441,2.826067,57.6431357724057,5.969724017521358,4.523422013024619,-0.482855,-0.026587,-0.009445,-0.875246,0.998408,0.042208,-0.037419,0.009142,0.533524,0.845736,0.164944,1.168161,3.004467,-8.772604266335343,3.4137081282624355,-71.59761252264119,-0.079376,-0.020629,-0.581121,0.809674,0.323745,-0.937763,0.125659,0.944313,0.311995,-0.104562,-0.059482,1.16149,2.989993,-12.78672350486648,-7.087099969094917,52.8207552180548,-0.126862,-0.005577,0.435022,0.891421,0.621449,0.77699,-0.100433,-0.77416,0.589324,-0.231027
0.125,0.037433,1.535489,2.826211,57.62268170239168,5.914714654350733,4.473906347932583,-0.482683,-0.026386,-0.00931,-0.875348,0.998434,0.041771,-0.037206,0.009173,0.53386,0.845523,0.164931,1.168189,3.004692,-8.761105846055122,3.3546511776841825,-71.42558197721206,-0.079027,-0.020869,-0.579953,0.81054,0.326439,-0.93685,0.125494,0.943447,0.31482,-0.103902,-0.059103,1.162421,2.98973,-13.19652248729583,-7.002006455099952,52.987207655803736,-0.129709,-0.003127,0.436036,0.890527,0.619726,0.777415,-0.107547,-0.775792,0.586097,-0.233745
0.136,0.037669,1.535487,2.826324,57.60415523562561,5.849958346919566,4.41853384685475,-0.482524,-0.026134,-0.00917,-0.875445,0.998466,0.041276,-0.036909,0.009166,0.534173,0.845326,0.164906,1.168201,3.004922,-8.847282367181247,3.217514513823146,-71.2009217544171,-0.078984,-0.022123,-0.578406,0.811615,0.329914,-0.935391,0.12728,0.942381,0.318416,-0.102617,-0.057351,1.163547,2.989045,-13.834070927740171,-6.605293305890369,52.65463829028818,-0.133125,0.002064,0.433321,0.891351,0.624458,0.771932,-0.119052,-0.773032,0.589021,-0.235534
0.147,0.037804,1.535488,2.826472,57.60168328026558,5.814640050804624,4.378733298492269,-0.482493,-0.026033,-0.009016,-0.875466,0.998482,0.040909,-0.036882,0.009335,0.534238,0.845283,0.16476,1.168145,3.005115,-8.843012798002453,3.007412718898172,-71.15331504788634,-0.077903,-0.023557,-0.578215,0.811815,0.330225,-0.935137,0.128337,0.942478,0.319197,-0.099244,-0.057317,1.164521,2.989148,-14.206002091617302,-6.530839409826956,52.4218173802267,-0.135724,0.003814,0.431256,0.891954,0.628008,0.768286,-0.123867,-0.770357,0.591195,-0.238831
0.158,0.038056,1.535462,2.826568,57.6116676413997,5.7598019664879745,4.329586045903573,-0.482554,-0.025816,-0.008866,-0.875441,0.99851,0.040438,-0.036645,0.009393,0.534127,0.845352,0.164639,1.168048,3.00516,-8.910534245502683,2.894418662071412,-71.01769448364738,-0.077839,-0.024608,-0.577292,0.812447,0.332257,-0.934207,0.129856,0.941869,0.321351,-0.098068,-0.056832,1.165177,2.988804,-14.547286701286854,-6.452750548016126,52.08597423583523,-0.138084,0.005339,0.42842,0.892951,0.632856,0.763641,-0.127851,-0.76659,0.594779,-0.24203
0.169,0.038282,1.535465,2.826691,57.62505152548572,5.737353437940691,4.288706443259108,-0.482645,-0.02581,-0.008641,-0.875393,0.998518,0.040043,-0.036846,0.009785,0.533958,0.845455,0.164474,1.168121,3.005451,-9.093943040570506,2.701334024910402,-70.74388213663534,-0.078227,-0.026719,-0.575376,0.813701,0.336458,-0.932187,0.133502,0.940548,0.325647,-0.09656,-0.055017,1.166173,2.988265,-15.13964454477794,-6.131009262711535,50.83287481301471,-0.141566,0.008578,0.418482,0.897083,0.649598,0.748398,-0.133876,-0.753255,0.609664,-0.246814
