Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,-0.09307,1.731627,2.747324,3.2752375403605365,13.621216644365765,0.679784249165284,-0.029079,-0.118369,-0.002499,-0.992541,0.971965,0.011845,-0.234826,0.001923,0.998296,0.058317,-0.218296,1.210664,2.973309,-20.714263909148805,-6.315315122403965,44.36809400241599,-0.186682,0.017605,0.361697,0.913245,0.737732,0.654062,-0.1672,-0.667208,0.668651,-0.328237,0.025839,1.209105,2.995835,-15.412833528574986,2.3060466665610915,-7.0746612901143155,-0.135045,0.011631,-0.058436,0.989047,0.9929,-0.118734,-0.007225,0.112451,0.956696,-0.26849
0.042,-0.089115,1.731781,2.744218,3.209926872972318,15.41706218671667,0.8081324535508312,-0.0287,-0.133882,-0.003229,-0.990576,0.964131,0.014081,-0.265054,0.001289,0.998332,0.057724,-0.209671,1.22032,2.982335,-17.710555545960364,-7.993258695140238,59.10042948966625,-0.167554,0.015827,0.476789,0.862756,0.544844,0.817401,-0.187085,-0.828009,0.489197,-0.274023,0.029209,1.229894,3.004131,-18.887837194787924,5.15403505297735,-7.83329247205294,-0.166563,0.033053,-0.059951,0.983652,0.990627,-0.128952,-0.045055,0.10693,0.937326,-0.331643
0.100,-0.084159,1.729101,2.741147,4.484290926444708,17.446489247483914,0.9671927217641714,-0.039948,-0.151214,-0.002403,-0.987691,0.954257,0.016828,-0.298514,0.007334,0.996797,0.079639,-0.189052,1.229261,2.996109,-12.571735530877218,-5.156002614492353,69.60006370037767,-0.115332,0.025711,0.562665,0.818197,0.365494,0.914811,-0.17186,-0.926672,0.340213,-0.159794,0.034141,1.261009,3.011843,-23.811403498980006,9.705895075773334,-14.140788172964333,-0.214188,0.056847,-0.102689,0.969715,0.972447,-0.223511,-0.066261,0.174807,0.887156,-0.427079
0.103,-0.083186,1.728352,2.740658,4.857944298213148,17.81634732663619,1.013229223668801,-0.043236,-0.154336,-0.002165,-0.98707,0.952351,0.01762,-0.304494,0.009072,0.996252,0.086021,-0.187514,1.229989,2.996753,-12.411752149816744,-4.772232722614535,70.00281354054451,-0.112214,0.028049,0.566054,0.816213,0.357592,0.917747,-0.172826,-0.930337,0.333982,-0.151426,0.034287,1.262815,3.012228,-24.032922455096024,9.92807592917233,-14.475429028847122,-0.216422,0.057829,-0.104892,0.968925,0.971307,-0.228296,-0.066662,0.178234,0.884318,-0.431525
0.105,-0.082201,1.727185,2.740102,5.422310042146032,18.153914387865232,1.0853097904721698,-0.048199,-0.157135,-0.00188,-0.986399,0.95061,0.018856,-0.309814,0.011439,0.995347,0.095677,-0.183109,1.2321,2.998704,-12.118741272131166,-3.772482795934006,71.41739753451934,-0.104771,0.035,0.577268,0.809049,0.331074,0.926742,-0.177596,-0.94141,0.31157,-0.129121,0.034712,1.26803,3.013358,-24.686504062823342,10.513821518555016,-15.136935241322327,-0.222803,0.060687,-0.10871,0.966881,0.968999,-0.237261,-0.068912,0.183177,0.877082,-0.444042
0.114,-0.081341,1.725888,2.739721,6.040819713305556,18.492863447251754,1.1710209827987155,-0.053644,-0.159918,-0.001606,-0.98567,0.948847,0.020324,-0.315081,0.013991,0.99424,0.106264,-0.177935,1.236483,3.001495,-12.886929141867338,-2.4557970617522593,72.27569137226325,-0.103168,0.048969,0.583928,0.803733,0.313261,0.92854,-0.199201,-0.948748,0.29677,-0.10865,0.034694,1.274426,3.014915,-25.489067485557516,11.014644283180848,-15.522459875977676,-0.230216,0.063097,-0.110132,0.964827,0.967779,-0.241569,-0.071046,0.183465,0.869743,-0.458135
0.125,-0.08043,1.724279,2.739147,6.756049191991855,18.782937744237213,1.270398120344015,-0.059936,-0.162241,-0.001304,-0.984928,0.947353,0.022016,-0.319434,0.01688,0.992812,0.118488,-0.18104,1.243846,3.009151,-13.371588248171038,-1.5065428207986717,73.03189346189512,-0.101331,0.058778,0.589719,0.799068,0.297554,0.930538,-0.21345,-0.954362,0.283928,-0.092615,0.034978,1.280832,3.016282,-26.38016725739295,11.547694027798384,-16.12980968585342,-0.238521,0.065129,-0.113172,0.962319,0.965901,-0.248884,-0.071362,0.186746,0.8606,-0.473808
0.136,-0.079762,1.722765,2.738792,7.459027727342032,19.078159894599608,1.3676459162981527,-0.066116,-0.164592,-0.000966,-0.984143,0.945817,0.023667,-0.323836,0.019862,0.991255,0.130454,-0.175856,1.249165,3.010257,-14.68238554035724,-0.8266950355086063,72.86347191333098,-0.107052,0.070124,0.58824,0.798497,0.298113,0.924401,-0.237932,-0.954429,0.285028,-0.088461,0.034771,1.287704,3.017712,-27.42176059066698,11.840558263187337,-16.595681828097657,-0.247752,0.065132,-0.115267,0.959735,0.964943,-0.253524,-0.067903,0.188978,0.850665,-0.490568
0.148,-0.078951,1.72112,2.738353,8.199193503988495,19.34445252665,1.4444923986302034,-0.072581,-0.16668,-0.000384,-0.983336,0.944435,0.024951,-0.32775,0.023441,0.989464,0.142872,-0.1709,1.255058,3.011103,-16.210008751910596,-0.3062552334188414,72.58314943106019,-0.115204,0.081317,0.585677,0.798185,0.300741,0.91622,-0.264756,-0.953692,0.287422,-0.088658,0.034827,1.294695,3.018628,-28.624107301676663,12.154140885655721,-17.24577450055015,-0.258415,0.064566,-0.118586,0.956551,0.963537,-0.260237,-0.062232,0.193498,0.838318,-0.509687
0.159,-0.078274,1.719548,2.737983,8.883258205088083,19.599872143540424,1.4836181196598615,-0.078504,-0.168695,0.000461,-0.982537,0.943084,0.02558,-0.33157,0.027393,0.987674,0.15411,-0.167432,1.2613,3.0127,-17.66588775593634,0.2575960814580139,72.62248420508686,-0.12242,0.09272,0.585425,0.796049,0.297361,0.909352,-0.290955,-0.954756,0.284582,-0.086344,0.034916,1.301976,3.018974,-29.976663440893187,12.52448410778149,-17.97623372084948,-0.270384,0.063911,-0.12215,0.952831,0.96199,-0.267338,-0.055738,0.198216,0.823944,-0.530873
0.170,-0.077493,1.718019,2.737664,9.539617595816747,19.83858697340794,1.4786936750827124,-0.084118,-0.170593,0.001656,-0.981743,0.941791,0.025448,-0.335235,0.031952,0.985843,0.1646,-0.162982,1.26796,3.012878,-19.527217390565976,0.6374643161982748,73.04768890232464,-0.133014,0.105333,0.587286,0.791396,0.288,0.90153,-0.322956,-0.957573,0.274804,-0.086812,0.035272,1.309388,3.01932,-31.333054013850553,13.096273888139894,-18.836299118419213,-0.282628,0.064421,-0.126152,0.948714,0.959871,-0.275778,-0.050926,0.20295,0.808415,-0.552519
0.181,-0.076654,1.716531,2.737552,10.202001787107948,20.04951988045558,1.4545773237319874,-0.089748,-0.172259,0.003026,-0.98095,0.940635,0.024983,-0.338498,0.036857,0.983872,0.175034,-0.159639,1.274287,3.013522,-21.031576412990407,0.8290901572962162,74.21527747401203,-0.141254,0.115779,0.594219,0.783292,0.267,0.898185,-0.349249,-0.963602,0.253903,-0.083691,0.035696,1.316439,3.019526,-32.6229504394639,13.742807954722222,-19.62400861249321,-0.294331,0.065627,-0.129271,0.944644,0.957965,-0.282861,-0.047891,0.205597,0.793317,-0.573043
0.192,-0.075828,1.715161,2.737634,10.829137466575386,20.246671774256935,1.4644544751828734,-0.095121,-0.173782,0.00406,-0.980171,0.939567,0.025102,-0.341445,0.041019,0.981871,0.185059,-0.155792,1.280298,3.013747,-22.29425448833528,1.04432713812926,75.56194390621421,-0.147315,0.125504,0.602454,0.774336,0.242595,0.896027,-0.371866,-0.969981,0.230694,-0.076922,0.03613,1.323447,3.01962,-33.880557308995684,14.378383125915247,-20.257343539321145,-0.305632,0.067012,-0.13101,0.94071,0.956692,-0.287446,-0.045996,0.205522,0.778851,-0.592581
0.203,-0.075057,1.713634,2.737418,11.491197792843822,20.436451458917183,1.4942428456155121,-0.100817,-0.175207,0.00499,-0.979344,0.938556,0.025555,-0.344181,0.045101,0.979622,0.195721,-0.152504,1.286076,3.014621,-23.144338330935888,1.18804902043454,77.586395270596,-0.14998,0.133589,0.615364,0.762225,0.206963,0.89802,-0.388235,-0.978163,0.197667,-0.064226,0.036514,1.330514,3.01976,-35.177679221878435,14.977822854543275,-20.541667446692273,-0.316958,0.06883,-0.129762,0.936996,0.956848,-0.286806,-0.046729,0.199541,0.765399,-0.61184
0.214,-0.074332,1.712127,2.737443,12.167007346724839,20.598558288382968,1.5569107954156334,-0.106676,-0.17635,0.005654,-0.978514,0.937737,0.026559,-0.346328,0.04869,0.977177,0.206773,-0.148924,1.291484,3.015199,-23.758325500352832,1.463347704454652,79.46536362401936,-0.150304,0.141179,0.627488,0.750824,0.172655,0.899826,-0.400629,-0.984705,0.167335,-0.048528,0.036758,1.337215,3.019752,-36.417173217996584,15.532360920946491,-20.481185230440584,-0.3275,0.071276,-0.125778,0.933726,0.958199,-0.281569,-0.050721,0.188197,0.753847,-0.62952
