Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,-0.119339,1.865564,3.017432,15.666392393970932,-1.439324959038491,-0.5699342171952791,-0.136339,0.011765,0.003215,-0.990587,0.999703,-0.009579,0.022432,0.003162,0.962803,0.270186,-0.044428,1.464283,3.272944,-32.66560919913737,2.5987474986029966,-0.16518319846472793,-0.281175,0.021356,0.004994,0.959406,0.999038,-0.002426,-0.043786,-0.021593,0.841832,-0.539308,-0.217988,1.452381,3.264416,-27.219208414103065,-5.006482089313518,-1.6148315794658803,-0.234459,-0.045758,-0.023959,0.970753,0.994664,-0.025061,0.100074,0.067974,0.88891,-0.45301
0.044,-0.118532,1.866379,3.017456,15.383070814966985,-1.3196143567222294,-0.4322881257732919,-0.133873,0.010907,0.002197,-0.990936,0.999752,-0.007274,0.021028,0.001433,0.964146,0.265367,-0.047873,1.468049,3.271609,-34.47690510416281,1.643518205883253,0.8119906088268732,-0.296214,0.015797,0.011017,0.954927,0.999258,0.011683,-0.036696,-0.0304,0.824272,-0.565378,-0.212799,1.457337,3.264167,-29.017121161679903,-4.68294588139417,-2.0781697220847195,-0.249557,-0.044085,-0.027775,0.966957,0.99457,-0.03171,0.09912,0.075717,0.8739,-0.480172
0.106,-0.117617,1.866359,3.018142,15.366685474608865,-1.3188689752152865,-0.4077065475971813,-0.133729,0.01093,0.001987,-0.990956,0.999753,-0.006862,0.021132,0.001015,0.964225,0.265082,-0.049214,1.470367,3.27102,-35.33632001593095,1.7796085089049154,1.807668419429193,-0.303196,0.019582,0.019741,0.952523,0.998454,0.025733,-0.049274,-0.049481,0.815366,-0.576828,-0.210249,1.461593,3.263459,-30.537199959662583,-5.625070128266662,-1.893997260689066,-0.262209,-0.051677,-0.028845,0.963195,0.992995,-0.028466,0.114677,0.082667,0.860829,-0.502135
0.109,-0.117489,1.866053,3.01824,15.507217390299353,-1.33797503836347,-0.4034356947778402,-0.134944,0.011094,0.001913,-0.990789,0.999747,-0.006785,0.021467,0.000797,0.963573,0.267444,-0.049303,1.470505,3.271194,-35.38516775895557,1.8019979325871756,1.7961693661542226,-0.3036,0.019742,0.019709,0.952391,0.998444,0.025554,-0.049572,-0.049529,0.814878,-0.577513,-0.209709,1.461658,3.263294,-30.563191984980474,-5.627625567825912,-1.8847655994708552,-0.262431,-0.051678,-0.028783,0.963136,0.993002,-0.02832,0.114652,0.082567,0.860603,-0.502539
0.113,-0.117451,1.865636,3.018492,15.677310401805686,-1.3694099813072178,-0.402776342012714,-0.136415,0.011359,0.001852,-0.990585,0.999735,-0.006769,0.021999,0.000571,0.962775,0.270303,-0.049062,1.47094,3.271102,-35.51972699346152,1.9824550769815175,1.3802099339998612,-0.304762,0.020147,0.016745,0.952068,0.998627,0.019604,-0.048569,-0.044164,0.813679,-0.579634,-0.209569,1.461902,3.263903,-30.49392700721573,-5.647313554961637,-1.6971754413360545,-0.261928,-0.051413,-0.027225,0.963332,0.993231,-0.02552,0.113317,0.079386,0.861305,-0.501849
0.124,-0.117373,1.865269,3.018674,15.824198767321366,-1.405650370000607,-0.4099884954211389,-0.137686,0.011657,0.001855,-0.990406,0.999721,-0.006884,0.02258,0.000464,0.962078,0.272774,-0.048792,1.471396,3.270893,-35.69936351776503,2.123715080335989,0.9242293929021383,-0.306316,0.020111,0.013356,0.951624,0.998834,0.013099,-0.046458,-0.03774,0.811985,-0.582457,-0.209245,1.462026,3.264213,-30.44590255954601,-5.801435072465882,-1.250257678497836,-0.261691,-0.051688,-0.023801,0.963473,0.993524,-0.01881,0.112056,0.072915,0.861903,-0.501804
0.135,-0.117244,1.865005,3.018847,15.955420308140898,-1.4309640870283806,-0.41555972537831404,-0.138821,0.011863,0.001858,-0.990245,0.999712,-0.006974,0.022978,0.000386,0.961451,0.274977,-0.048537,1.471777,3.270806,-35.855153731839984,2.2458433387161296,0.7217849027402092,-0.307632,0.020584,0.012024,0.951207,0.998863,0.010211,-0.046558,-0.03554,0.810436,-0.584748,-0.209438,1.462317,3.264831,-30.3823231272405,-6.000171573768955,-0.7525185238521489,-0.261344,-0.052226,-0.020043,0.963624,0.993741,-0.011331,0.111129,0.065926,0.862596,-0.50158
0.146,-0.11713,1.864727,3.019114,16.06232849813098,-1.4368471424534186,-0.40805808804137217,-0.139744,0.011918,0.001774,-0.990114,0.99971,-0.006843,0.023104,0.000181,0.960937,0.276768,-0.048322,1.472133,3.270863,-35.97226374374686,2.369962616147589,0.7095746500947202,-0.308593,0.021581,0.012274,0.95087,0.998767,0.010023,-0.048616,-0.036661,0.809239,-0.586334,-0.209131,1.462443,3.265001,-30.36072834521767,-6.219409182182356,-0.3064028175837612,-0.261332,-0.053054,-0.016782,0.963644,0.993807,-0.004615,0.111022,0.060074,0.862848,-0.501881
0.157,-0.117084,1.864449,3.019522,16.158553982116704,-1.453905597747449,-0.37376963333870855,-0.140572,0.012103,0.001446,-0.989995,0.999703,-0.006266,0.023557,-0.00054,0.960475,0.278366,-0.047966,1.472345,3.270888,-36.0022803772497,2.4896241899907445,0.8369518858784446,-0.308804,0.022917,0.013658,0.950752,0.998577,0.011816,-0.052013,-0.040124,0.808907,-0.586565,-0.209734,1.462755,3.26564,-30.317823005107783,-6.56147969316574,0.21334354527883792,-0.261171,-0.054751,-0.013171,0.963649,0.993658,0.003214,0.112401,0.053983,0.863233,-0.501911
0.168,-0.117008,1.864145,3.019902,16.265269757888156,-1.479256971625023,-0.343257136009126,-0.141491,0.012355,0.001139,-0.989862,0.999692,-0.00575,0.024137,-0.001242,0.959958,0.28014,-0.047672,1.472438,3.271204,-35.93813507108411,2.560038697324443,0.7684907402946998,-0.308277,0.023317,0.013269,0.950918,0.998561,0.010859,-0.052525,-0.039611,0.809579,-0.585673,-0.210212,1.463029,3.265859,-30.273205164283347,-6.8366661863768865,0.7359208384251512,-0.261021,-0.055882,-0.009381,0.963669,0.993578,0.011092,0.112602,0.047254,0.86356,-0.502026
