Timestamp,Head_position_x,Head_position_y,Head_position_z,Head_euler_x,Head_euler_y,Head_euler_z,Head_quat_x,Head_quat_y,Head_quat_z,Head_quat_w,Head_sixD_a,Head_sixD_b,Head_sixD_c,Head_sixD_d,Head_sixD_e,Head_sixD_f,LeftHand_position_x,LeftHand_position_y,LeftHand_position_z,LeftHand_euler_x,LeftHand_euler_y,LeftHand_euler_z,LeftHand_quat_x,LeftHand_quat_y,LeftHand_quat_z,LeftHand_quat_w,LeftHand_sixD_a,LeftHand_sixD_b,LeftHand_sixD_c,LeftHand_sixD_d,LeftHand_sixD_e,LeftHand_sixD_f,RightHand_position_x,RightHand_position_y,RightHand_position_z,RightHand_euler_x,RightHand_euler_y,RightHand_euler_z,RightHand_quat_x,RightHand_quat_y,RightHand_quat_z,RightHand_quat_w,RightHand_sixD_a,RightHand_sixD_b,RightHand_sixD_c,RightHand_sixD_d,RightHand_sixD_e,RightHand_sixD_f
0.000,-0.37777,1.457837,3.356993,53.142333270909916,79.57625512746361,4.934691142033698,-0.368041,-0.557031,0.256404,-0.698942,0.247946,0.051597,-0.967399,0.768443,0.597606,0.228828,-0.191455,1.120221,3.361848,-17.412533830079063,63.65582566742097,4.133293449231285,-0.109726,0.525592,0.110062,0.836421,0.423278,0.068774,-0.903386,-0.299459,0.951693,-0.067859,-0.225182,1.145589,3.474934,-25.725155851306468,80.48859965137642,-3.1796534273256776,-0.187329,0.62488,0.123118,0.747847,0.188733,-0.04997,-0.980756,-0.418262,0.8995,-0.126319
0.047,-0.378215,1.457763,3.356709,53.128013904750695,79.54418644883148,4.811190739586572,-0.367428,-0.557271,0.256981,-0.698861,0.246819,0.050326,-0.967754,0.768703,0.597914,0.227145,-0.197552,1.117483,3.36201,-19.590963381662448,62.36614124350838,4.247240316887644,-0.126544,0.515269,0.119269,0.839202,0.440546,0.069773,-0.895015,-0.330591,0.939523,-0.089481,-0.23047,1.144379,3.47588,-28.205260540249117,80.3029895926448,0.25815413549238003,-0.18483,0.625795,0.158784,0.74095,0.166337,0.00397,-0.986061,-0.466633,0.881251,-0.075167
0.097,-0.378907,1.457326,3.356394,53.23517267587275,79.45524673581754,4.7991023267248645,-0.3682,-0.556473,0.257317,-0.698967,0.248251,0.050074,-0.967401,0.769499,0.596434,0.228339,-0.201684,1.112321,3.359873,-20.298786242958137,61.924303402648,-4.025217455301304,-0.168798,0.500802,0.060958,0.846752,0.490964,-0.065837,-0.868689,-0.272301,0.935583,-0.224805,-0.233564,1.141251,3.477946,-30.198296228560853,80.82130296767856,2.2131086719936826,-0.186218,0.629595,0.183031,0.731733,0.140219,0.033375,-0.989558,-0.502342,0.863646,-0.042052
0.099,-0.379082,1.457201,3.356326,53.27170863772524,79.45803639847263,4.801169484869962,-0.368419,-0.556383,0.2575,-0.698856,0.248263,0.050053,-0.967399,0.769875,0.595923,0.228406,-0.201981,1.111972,3.360038,-20.33866035232901,61.78188349065818,-3.9332175899202126,-0.168765,0.499843,0.061606,0.847278,0.492724,-0.064316,-0.867806,-0.273106,0.935447,-0.224394,-0.233475,1.141024,3.477771,-30.174522737200846,80.94975418101,1.8720951201250018,-0.187735,0.629891,0.180934,0.731612,0.141001,0.028242,-0.989607,-0.501252,0.864037,-0.046761
0.101,-0.379295,1.456984,3.356253,53.3031371440429,79.45040652014254,4.791471325406592,-0.368574,-0.556281,0.257695,-0.698783,0.248289,0.049915,-0.967399,0.770207,0.595493,0.228404,-0.20321,1.110477,3.360035,-20.549889983792472,61.36788285978768,-4.198027672229265,-0.171687,0.496163,0.059969,0.84897,0.500452,-0.068546,-0.863047,-0.272192,0.933855,-0.232005,-0.233564,1.140046,3.477295,-30.232800208981313,81.32828913761104,1.0080086415016707,-0.192272,0.630792,0.176366,0.730772,0.141992,0.015199,-0.989751,-0.500334,0.863853,-0.058514
0.113,-0.379481,1.456776,3.356186,53.346363174833066,79.46700542156128,4.804617125913802,-0.368855,-0.556221,0.257889,-0.698611,0.248223,0.050002,-0.967412,0.770658,0.594879,0.228486,-0.204806,1.108921,3.360596,-20.75086877839518,60.7369510801775,-3.391858151909327,-0.170036,0.492476,0.065893,0.851007,0.506252,-0.055326,-0.860609,-0.279628,0.933492,-0.224503,-0.233298,1.13858,3.476442,-29.93684003271756,81.84224243295186,-0.6640170567751496,-0.198828,0.631652,0.16495,0.730941,0.147615,-0.010042,-0.988994,-0.492317,0.866518,-0.082281
0.124,-0.379693,1.456511,3.356102,53.40354659081486,79.47929717528183,4.801579024421129,-0.369149,-0.556148,0.258239,-0.698384,0.248023,0.049903,-0.967468,0.771303,0.594083,0.228378,-0.206357,1.107415,3.361111,-20.957655176806394,59.99998078792388,-2.159990683688629,-0.166745,0.488605,0.074869,0.853145,0.511319,-0.035196,-0.85867,-0.290693,0.933182,-0.211352,-0.233052,1.136827,3.475443,-29.60792783174002,82.39858859466614,-2.174418864999891,-0.204302,0.633053,0.154468,0.730509,0.150767,-0.032988,-0.988019,-0.484349,0.868801,-0.102917
0.135,-0.379878,1.456248,3.356053,53.462388083698826,79.52909499319972,4.839504338190722,-0.369567,-0.556167,0.258469,-0.698063,0.247744,0.050227,-0.967523,0.771938,0.593227,0.228458,-0.207767,1.106237,3.361764,-21.244036313519164,59.19579326300255,-0.7206006510710118,-0.163326,0.484429,0.085666,0.855169,0.515979,-0.011722,-0.856521,-0.304759,0.931972,-0.196345,-0.232589,1.13503,3.474292,-29.261740572089536,83.04337065477499,-3.2321996712029075,-0.20713,0.635819,0.146946,0.728861,0.148282,-0.049188,-0.987721,-0.477602,0.871008,-0.115076
0.146,-0.380059,1.455965,3.355954,53.54821217864657,79.5733365161804,4.887359266619401,-0.370204,-0.556045,0.258759,-0.697716,0.247715,0.050619,-0.96751,0.77278,0.591986,0.22883,-0.209519,1.10566,3.361907,-21.570035742067468,58.53171338149947,0.3501157003855004,-0.161772,0.480724,0.094096,0.856668,0.5201,0.005683,-0.854086,-0.316753,0.929952,-0.1867,-0.232362,1.133535,3.47349,-29.028511209739378,83.66021983917351,-3.789108401437262,-0.207987,0.639113,0.143206,0.726477,0.142054,-0.057783,-0.988171,-0.473925,0.872467,-0.119146
0.157,-0.380229,1.455659,3.355871,53.641056459967366,79.60091153603318,4.911928167887706,-0.370806,-0.555876,0.259173,-0.697377,0.247663,0.050762,-0.967516,0.773726,0.590666,0.229047,-0.210214,1.103893,3.362295,-21.756611630099286,58.086874360965915,1.1661152792919152,-0.160132,0.478403,0.100352,0.857565,0.52212,0.018902,-0.852663,-0.325332,0.928574,-0.17863,-0.23276,1.132052,3.474886,-29.050614065453026,83.68908778851934,-2.4842142526580107,-0.200796,0.641587,0.151645,0.724604,0.13074,-0.037891,-0.990692,-0.477422,0.873369,-0.096408
